test_id,person_image,garment_image,category,variant,expected_behavior,success,failure_type,failure_reason,input_width,input_height,output_width,output_height,output_available,mask_coverage,alignment_indicator,pose_quality,mask_quality,garment_quality,person_processing_time,garment_processing_time,inference_time,total_processing_time,model_version,result_path,visual_quality_score,alignment_score,garment_preservation_score,artifact_score
test_011,person.jpg,garment.jpg,shirt/top,dark,Pipeline should remain stable under reduced lighting.,True,,,560,900,560,900,True,0.2316,1.0,0.9966,0.7202,1.0,0.9249,1.0689,0.7748,2.8325,tryon-v1-baseline,evaluation\generated\test_011.png,,,,
test_012,person.jpg,garment.jpg,shirt/top,bright,Pipeline should remain stable under increased brightness.,True,,,560,900,560,900,True,0.2255,1.0,0.9957,0.7031,1.0,0.7826,0.9445,0.7492,2.5402,tryon-v1-baseline,evaluation\generated\test_012.png,,,,
test_013,person.jpg,tshirt.jpg,t-shirt,original,Try-on should complete successfully.,True,,,560,900,560,900,True,0.2312,0.9999,0.9971,0.719,1.0,0.9011,0.8496,0.7372,2.5356,tryon-v1-baseline,evaluation\generated\test_013.png,,,,
test_014,person.jpg,tshirt.jpg,t-shirt,low_resolution,Quality gate should validate or reject depending on pose/image quality.,True,,,560,900,560,900,True,0.2348,0.9999,0.9967,0.7431,1.0,0.9039,0.8827,0.8033,2.6421,tryon-v1-baseline,evaluation\generated\test_014.png,,,,
test_015,person.jpg,tshirt.jpg,t-shirt,dark,Pipeline should remain stable under reduced lighting.,True,,,560,900,560,900,True,0.2316,1.0,0.9966,0.7202,1.0,0.8842,0.9388,0.7662,2.6447,tryon-v1-baseline,evaluation\generated\test_015.png,,,,
test_016,person.jpg,tshirt.jpg,t-shirt,bright,Pipeline should remain stable under increased brightness.,True,,,560,900,560,900,True,0.2255,1.0,0.9957,0.7031,1.0,0.903,0.9768,0.7773,2.7019,tryon-v1-baseline,evaluation\generated\test_016.png,,,,
test_017,person2.jpg,garment.jpg,shirt/top,original,Try-on should complete successfully.,True,,,2280,1410,2280,1410,True,0.1551,0.9993,0.8866,0.4968,1.0,1.468,0.9588,0.8929,3.6175,tryon-v1-baseline,evaluation\generated\test_017.png,,,,
test_018,person2.jpg,garment.jpg,shirt/top,low_resolution,Quality gate should validate or reject depending on pose/image quality.,True,,,2280,1410,2280,1410,True,0.1552,0.9993,0.8513,0.4807,1.0,1.3644,1.0493,0.9291,3.6177,tryon-v1-baseline,evaluation\generated\test_018.png,,,,
test_019,person2.jpg,garment.jpg,shirt/top,dark,Pipeline should remain stable under reduced lighting.,True,,,2280,1410,2280,1410,True,0.1562,0.9991,0.8406,0.5006,1.0,1.3113,0.9551,0.9166,3.4277,tryon-v1-baseline,evaluation\generated\test_019.png,,,,
test_020,person2.jpg,garment.jpg,shirt/top,bright,Pipeline should remain stable under increased brightness.,True,,,2280,1410,2280,1410,True,0.1542,0.9993,0.8809,0.4793,1.0,1.9894,1.8029,1.2635,5.3603,tryon-v1-baseline,evaluation\generated\test_020.png,,,,
test_021,person2.jpg,tshirt.jpg,t-shirt,original,Try-on should complete successfully.,True,,,2280,1410,2280,1410,True,0.1551,0.9993,0.8866,0.4968,1.0,3.2621,1.4517,1.6485,6.771,tryon-v1-baseline,evaluation\generated\test_021.png,,,,
test_022,person2.jpg,tshirt.jpg,t-shirt,low_resolution,Quality gate should validate or reject depending on pose/image quality.,True,,,2280,1410,2280,1410,True,0.1552,0.9993,0.8513,0.4807,1.0,2.4161,1.4118,1.5984,5.9076,tryon-v1-baseline,evaluation\generated\test_022.png,,,,
test_023,person2.jpg,tshirt.jpg,t-shirt,dark,Pipeline should remain stable under reduced lighting.,True,,,2280,1410,2280,1410,True,0.1562,0.9991,0.8406,0.5006,1.0,2.412,1.4265,1.5954,5.9249,tryon-v1-baseline,evaluation\generated\test_023.png,,,,
test_024,person2.jpg,tshirt.jpg,t-shirt,bright,Pipeline should remain stable under increased brightness.,True,,,2280,1410,2280,1410,True,0.1542,0.9993,0.8809,0.4793,1.0,2.5509,1.5273,1.6323,6.0659,tryon-v1-baseline,evaluation\generated\test_024.png,,,,
